,Name,Category Name,,Ticker
LR.MI,Landi Renzo S.p.A.,Auto Parts,LR,xmil:LR
BSRP.MI,Banco di Sardegna S.p.A.,Money Center Banks,BSRP,xmil:BSRP
STEFR.MI,Stefanel S.p.A.,Textile - Apparel Clothing,STEFR,xmil:STEFR
UCG.MI,UniCredit S.p.A.,Money Center Banks,UCG,xmil:UCG
YSFT.MI,Softec S.p.A.,Technical & System Software,YSFT,xmil:YSFT
SRS.MI,Saras S.p.A.,Oil & Gas Refining & Marketing,SRS,xmil:SRS
TOD.MI,TOD'S S.p.A.,Textile - Apparel Footwear & Accessories,TOD,xmil:TOD
BZUR.MI,Buzzi Unicem SpA,General Building Materials,BZUR,xmil:BZUR
USRA.MI,UnipolSai Assicurazioni S.p.A.,,USRA,xmil:USRA
UNI.MI,Unipol Gruppo Finanziario S.p.A.,Property & Casualty Insurance,UNI,xmil:UNI
UCGR.MI,UniCredit S.p.A.,Money Center Banks,UCGR,xmil:UCGR
CTIC.MI,CTI BioPharma Corp.,Biotechnology,CTIC,xmil:CTIC
ZV.MI,Zignago Vetro S.p.A.,Packaging & Containers,ZV,xmil:ZV
VAS.MI,Vittoria Assicurazioni S.p.A.,Property & Casualty Insurance,VAS,xmil:VAS
TV.MI,Tech-Value S.p.A.,Information Technology Services,TV,xmil:TV
YVI.MI,Valore Italia Holding di Partecipazioni S.p.A.,,YVI,xmil:YVI
VE.MI,Visibilia Editore S.p.a.,,VE,xmil:VE
WMC.MI,WM Capital S.p.A.,Business Services,WMC,xmil:WMC
INW.MI,Infrastrutture Wireless Italiane S.p.A.,General Contractors,INW,xmil:INW
BMW.MI,Bayerische Motoren Werke Aktiengesellschaft,Auto Manufacturers - Major,BMW,xmil:BMW
XPR.MI,Exprivia S.p.A.,Information Technology Services,XPR,xmil:XPR
YNAP.MI,YOOX Net-A-Porter Group S.p.A.,,YNAP,xmil:YNAP
YIV.MI,Imvest S.p.A.,Property Management,YIV,xmil:YIV
YRM.MI,Rosetti Marino SpA,General Contractors,YRM,xmil:YRM
YSF.MI,Soft Strategy S.p.A.,,YSF,xmil:YSF
ZUC.MI,Vincenzo Zucchi S.p.A.,Textile Industrial,ZUC,xmil:ZUC
ESCO.MI,Zephyro S.p.A.,,ESCO,xmil:ESCO
MZB.MI,Massimo Zanetti Beverage Group S.p.A.,Farm Products,MZB,xmil:MZB
ZUCR.MI,Vincenzo Zucchi S.p.A.,Textile Industrial,ZUCR,xmil:ZUCR
ACE.MI,ACEA S.p.A.,Diversified Utilities,ACE,xmil:ACE
ACS.MI,Acsm-Agam S.p.A.,Diversified Utilities,ACS,xmil:ACS
ACO.MI,Acotel Group SpA,Wireless Communications,ACO,xmil:ACO
ACA.MI,Credit Agricole S.A.,Money Center Banks,ACA,xmil:ACA
CDR.MI,Cdr Advance Capital S.p.A.,Asset Management,CDR,xmil:CDR
ADB.MI,Aeroporto Guglielmo Marconi di Bologna S.p.A.,Heavy Construction,ADB,xmil:ADB
AEF.MI,Aeffe S.p.A.,Textile - Apparel Clothing,AEF,xmil:AEF
AGN.MI,AEGON N.V.,Property & Casualty Insurance,AGN,xmil:AGN
TYA.MI,Toscana Aeroporti S.p.A.,,TYA,xmil:TYA
AGL.MI,Autogrill S.p.A.,Restaurants,AGL,xmil:AGL
A.MI,Agronomia S.p.A.,,A,xmil:A
AGS.MI,ageas SA/NV,Property & Casualty Insurance,AGS,xmil:AGS
ARE.MI,ARE.MI,,ARE,xmil:ARE
MASI.MI,Masi Agricola S.p.A.,Beverages - Wineries & Distillers,MASI,xmil:MASI
OJM.MI,Openjobmetis S.p.A.,Staffing & Outsourcing Services,OJM,xmil:OJM
ARN.MI,Alerion Clean Power S.p.A.,Electric Utilities,ARN,xmil:ARN
ALBA.MI,Alba S.p.A.,,ALBA,xmil:ALBA
AMP.MI,Amplifon SpA,Medical Instruments & Supplies,AMP,xmil:AMP
AMB.MI,Ambromobiliare S.p.A.,Business Services,AMB,xmil:AMB
ATH.MI,Ambienthesis S.p.A.,,ATH,xmil:ATH
STS.MI,Ansaldo STS S.p.A.,Railroads,STS,xmil:STS
ASSI.MI,Assiteca S.p.A.,Insurance Brokers,ASSI,xmil:ASSI
CASS.MI,Società Cattolica di Assicurazione - Società Cooperativa,Property & Casualty Insurance,CASS,xmil:CASS
ASR.MI,A.S. Roma S.P.A.,"Recreational Goods, Other",ASR,xmil:ASR
AT.MI,ASTM S.p.A.,General Contractors,AT,xmil:AT
ASC.MI,Ascopiave S.p.A.,Gas Utilities,ASC,xmil:ASC
ATL.MI,Atlantia S.p.A.,Heavy Construction,ATL,xmil:ATL
SIS.MI,Società Iniziative Autostradali e Servizi S.p.A.,Heavy Construction,SIS,xmil:SIS
FCA.MI,Fiat Chrysler Automobiles N.V.,Auto Manufacturers - Major,FCA,xmil:FCA
AXEL.MI,axélero S.p.A.,Marketing Services,AXEL,xmil:AXEL
AXA.MI,AXA SA,Property & Casualty Insurance,AXA,xmil:AXA
BOE.MI,Boero Bartolomeo SpA,Chemicals - Major Diversified,BOE,xmil:BOE
BMED.MI,Banca Mediolanum S.p.A.,Money Center Banks,BMED,xmil:BMED
PRO.MI,Banca Profilo S.p.A.,Money Center Banks,PRO,xmil:PRO
CRG.MI,Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia,Money Center Banks,CRG,xmil:CRG
BGN.MI,Banca Generali S.p.A.,Money Center Banks,BGN,xmil:BGN
BASF.MI,BASF SE,Chemicals - Major Diversified,BASF,xmil:BASF
BAN.MI,BasicNet S.p.A.,Textile - Apparel Clothing,BAN,xmil:BAN
B.MI,Bastogi S.p.A.,Business Services,B,xmil:B
IF.MI,Banca IFIS S.p.A.,Money Center Banks,IF,xmil:IF
BDBR.MI,Banco di Desio e della Brianza S.p.A.,Money Center Banks,BDBR,xmil:BDBR
BDB.MI,Banco di Desio e della Brianza S.p.A.,Money Center Banks,BDB,xmil:BDB
BCM.MI,Biancamano S.p.A.,Waste Management,BCM,xmil:BCM
BC.MI,BRUNELLO CUCINELLI S.p.A.,Jewelry Stores,BC,xmil:BC
BNS.MI,Beni Stabili SIIQ S.p.A.,REIT - Diversified,BNS,xmil:BNS
BET.MI,"Be Think, Solve, Execute S.p.A.",Information Technology Services,BET,xmil:BET
BEC.MI,B&C Speakers S.p.A.,Electronic Equipment,BEC,xmil:BEC
BE.MI,Beghelli S.p.A.,Electronics Wholesale,BE,xmil:BE
BEST.MI,Best Union Company S.p.A.,"Recreational Goods, Other",BEST,xmil:BEST
BFE.MI,Banca Finnat Euramerica S.p.A.,Money Center Banks,BFE,xmil:BFE
BF.MI,Bonifiche Ferraresi S.p.A. Società Agricola,Farm Products,BF,xmil:BF
BSS.MI,Biesse S.p.A.,Diversified Machinery,BSS,xmil:BSS
BIE.MI,Bioera S.p.A.,Farm Products,BIE,xmil:BIE
BIA.MI,Bialetti Industrie S.p.A,Electronic Equipment,BIA,xmil:BIA
BIO2.MI,BioDue S.p.A.,Conglomerates,BIO2,xmil:BIO2
BLUE.MI,Blue Financial Communication S.p.A.,Publishing - Newspapers,BLUE,xmil:BLUE
BLZ.MI,Bolzoni SpA,,BLZ,xmil:BLZ
BM.MI,Bridge Management S.p.A.,,BM,xmil:BM
BO.MI,Borgosesia S.p.A.,Textile Industrial,BO,xmil:BO
BOMI.MI,Bomi Italia S.p.A.,Medical Equipment Wholesale,BOMI,xmil:BOMI
BOR.MI,Borgosesia S.p.A.,Textile Industrial,BOR,xmil:BOR
BRI.MI,Brioschi Sviluppo Immobiliare spa,Real Estate Development,BRI,xmil:BRI
IB.MI,Iniziative Bresciane S.p.A.,General Contractors,IB,xmil:IB
DIB.MI,Digital Bros S.p.A.,Multimedia & Graphics Software,DIB,xmil:DIB
BRE.MI,Brembo S.p.A.,Auto Parts,BRE,xmil:BRE
BST.MI,Banca Sistema S.p.A.,Money Center Banks,BST,xmil:BST
CARR.MI,Carraro SpA,Diversified Machinery,CARR,xmil:CARR
MIC.MI,Mid Industry Capital SpA,Asset Management,MIC,xmil:MIC
CC.MI,Ciccolella SpA,,CC,xmil:CC
RIC.MI,Gruppo Ceramiche Ricchetti SpA,General Building Materials,RIC,xmil:RIC
CMB.MI,Cembre S.p.A.,Diversified Electronics,CMB,xmil:CMB
PAN.MI,Panariagroup Industrie Ceramiche S.p.A.,General Building Materials,PAN,xmil:PAN
CE.MI,Credito Emiliano S.p.A.,Money Center Banks,CE,xmil:CE
CERV.MI,Cerved Information Solutions S.p.A.,Business Services,CERV,xmil:CERV
MSU.MI,Mondo TV (Suisse) SA,Entertainment - Diversified,MSU,xmil:MSU
CHL.MI,Centro HL Distribuzione S.p.A.,"Specialty Retail, Other",CHL,xmil:CHL
CIA.MI,Compagnia Immobiliare Azionaria S.p.A.,Real Estate Development,CIA,xmil:CIA
CIR.MI,Compagnie Industriali Riunite S.p.A.,Auto Parts,CIR,xmil:CIR
CLF.MI,Caleffi S.p.A.,Textile Industrial,CLF,xmil:CLF
CLG.MI,Caleido Group S.p.A.,"Recreational Goods, Other",CLG,xmil:CLG
CLA.MI,Clabo S.p.A.,Diversified Machinery,CLA,xmil:CLA
CLE.MI,Class Editori S.p.A.,Publishing - Newspapers,CLE,xmil:CLE
CNP.MI,Conafi Prestitò S.p.A.,Mortgage Investment,CNP,xmil:CNP
CRGR.MI,Banca Carige S.p.A. - Cassa di Risparmio di Genova e Imperia,Money Center Banks,CRGR,xmil:CRGR
CRR.MI,Carrefour SA,Grocery Stores,CRR,xmil:CRR
CVAL.MI,Credito Valtellinese Società Cooperativa,Money Center Banks,CVAL,xmil:CVAL
CSP.MI,CSP International Fashion Group S.p.A.,Textile - Apparel Clothing,CSP,xmil:CSP
DA.MI,Dada S.p.A.,Internet Information Providers,DA,xmil:DA
