,Ticker,Name
DEQ:xetr,xetr:DEQ,Deutsche EuroShop AG
DEX:xetr,xetr:DEX,Delticom AG
DEZG:xetr,xetr:DEZ,Deutz AG
DFTK:xetr,xetr:DFTK,DF Deutsche Forfait AG
DGR:xetr,xetr:DGR,Deutsche Grundstuecksauktionen AG
DHER:xetr,xetr:DHER,Delivery Hero AG
DIC:xetr,xetr:DIC,DIC Asset AG
DLG:xetr,xetr:DLG,Dialog Semiconductor Plc
DMRE:xetr,xetr:DMRE,DEMIRE Deutsche Mittelstand Real Estate AG
DPW:xetr,xetr:DPW,Deutsche Post AG
DR0:xetr,xetr:DR0,Deutsche Rohstoff AG
DRI:xetr,xetr:DRI,Drillisch AG
DRW3:xetr,xetr:DRW3,Drägerwerk AG Vz
DRW8:xetr,xetr:DRW8,Draegerwerk AG & Co. KGaA
DTE:xetr,xetr:DTE,Deutsche Telekom AG
DTEA:xetr,xetr:DTEA,Deutsche Telekom AG
DUE:xetr,xetr:DUE,Dürr AG
DWNI:xetr,xetr:DWNI,Deutsche Wohnen AG
E7S:xetr,xetr:E7S,Accentro Real Estate AG
EBK:xetr,xetr:EBK,ENBW Energie Baden-Wuerttemberg AG
ECF:xetr,xetr:ECF,Ecommerce Alliance AG
ECK:xetr,xetr:ECK,Ludwig Beck am Rathauseck - Textilhaus Feldmeier A
ECX1:xetr,xetr:ECX,Epigenomics AG
ED4:xetr,xetr:ED4,EDAG Engineering Group Ltd
EDL:xetr,xetr:EDL,edel AG
EFF:xetr,xetr:EFF,Deutsche Effecten und Wechsel- Beteiligungsges. AG
EIN3:xetr,xetr:EIN3,Einhell Germany AG
EKT:xetr,xetr:EKT,Energiekontor AG
ELG:xetr,xetr:ELG,ELMOS Semiconductor AG
ENA:xetr,xetr:ENA,Endesa SA
ENI:xetr,xetr:ENI,ENI SpA
ENL:xetr,xetr:ENL,Enel SpA
EOAN:xetr,xetr:EOAN,E.ON SE
EQS:xetr,xetr:EQS,EQS Group AG
ERCB:xetr,xetr:ERCB,Ericsson B
ERMK:xetr,xetr:ERMK,DEAG ENTERT KONV
ESY:xetr,xetr:ESY,EASY Software AG
ETG:xetr,xetr:ETG,EnviTec Biogas AG
EUCA:xetr,xetr:EUCA,Euromicron AG
EUZ:xetr,xetr:EUZ,Eckert & Ziegler AG
EV4:xetr,xetr:EV4,Constantin Medien AG
EVD:xetr,xetr:EVD,CTS Eventim AG
EVK:xetr,xetr:EVK,Evonik Industries AG
EVTG:xetr,xetr:EVT,EVOTEC AG
F3C:xetr,xetr:F3C,SFC Smart Fuel Cell AG
FAA:xetr,xetr:FAA,Fabasoft AG
FB2A:xetr,xetr:FB2A,Facebook Inc.
FBEN:xetr,xetr:FBEN,Fyber NV
FEV:xetr,xetr:FEV,FORTEC Elektronik AG
FIE:xetr,xetr:FIE,Fielmann AG
FME:xetr,xetr:FME,Fresenius Medical Care AG & Co. KGaA St
FMV:xetr,xetr:FMV,First Majestic Silver Corp.
FNTN:xetr,xetr:FNTN,freenet AG
FO4:xetr,xetr:FO4N,Ageas SA/NV
FOT:xetr,xetr:FOT,Fortum
FPE:xetr,xetr:FPE,Fuchs Petrolub AG St
FPE3:xetr,xetr:FPE3,Fuchs Petrolub AG Vz
FPH:xetr,xetr:FPH,Francotyp-Postalia Holding AG
FRA:xetr,xetr:FRA,Fraport AG
FRE:xetr,xetr:FRE,Fresenius
FRU:xetr,xetr:FRU,Ferratum Plc
FT0:xetr,xetr:FTK,FinTech Group AG
FTE1:xetr,xetr:FTE1,Orange SA
FVI:xetr,xetr:FVI,Fair Value REIT-AG
FYB:xetr,xetr:FYB,Formycon AG
