,Name,Ticker
00157:xhkg,Natural Beauty Bio-Technology Limited,xhkg:00157
00161:xhkg,AVIC International Holdings Ltd,xhkg:00161
00162:xhkg,Century Ginwa Retail Holdings Ltd,xhkg:00162
00163:xhkg,Emperor International Holdings Ltd,xhkg:00163
00164:xhkg,China Baoli Technologies Holdings ltd,xhkg:00164
00165:xhkg,China Everbright Ltd,xhkg:00165
00167:xhkg,IDT International Ltd,xhkg:00167
00168:xhkg,Tsingtao Brewery Co. Ltd,xhkg:00168
00169:xhkg,Wanda Hotel Development Co Ltd,xhkg:00169
00171:xhkg,Silver Grant International Industries Ltd,xhkg:00171
00173:xhkg,K Wah International Holdings Ltd,xhkg:00173
00177:xhkg,Jiangsu Expressway Co. Ltd,xhkg:00177
00178:xhkg,Sa Sa International Holdings Ltd,xhkg:00178
00179:xhkg,Johnson Electric Holdings Ltd,xhkg:00179
00182:xhkg,Concord New Energy Group Ltd,xhkg:00182
00183:xhkg,Winfull Group Holdings Ltd,xhkg:00183
00184:xhkg,Keck Seng Investments (Hong Kong) Ltd,xhkg:00184
00187:xhkg,Beijing Jingcheng Machinery Electric Co Ltd,xhkg:00187
00190:xhkg,HKC (Holdings) Ltd,xhkg:00190
00191:xhkg,Lai Sun Garment (International),xhkg:00191
00194:xhkg,Liu Chong Hing Investment Ltd,xhkg:00194
00195:xhkg,GreenTech Intl.,xhkg:00195
00196:xhkg,Honghua Group Ltd,xhkg:00196
00198:xhkg,SMI Holdings Group Ltd,xhkg:00198
00200:xhkg,Melco International Development Ltd,xhkg:00200
00206:xhkg,TSC Group Holdings Ltd,xhkg:00206
00207:xhkg,Joy City Property Ltd,xhkg:00207
00209:xhkg,Winshine Science Company Ltd,xhkg:00209
00210:xhkg,Daphne International Holdings Ltd,xhkg:00210
00213:xhkg,National Electronics Holdings Ltd,xhkg:00213
00214:xhkg,Asia Orient Holdings Ltd,xhkg:00214
00215:xhkg,Hutchison Telecommunications Hong KongHldngs Ltd,xhkg:00215
00218:xhkg,Shenwan Hongyuan (H.K.) Ltd,xhkg:00218
00220:xhkg,Uni-President China Holdings Ltd,xhkg:00220
00222:xhkg,Min Xin Holdings Ltd,xhkg:00222
00223:xhkg,Elife Holdings Ltd,xhkg:00223
00226:xhkg,Lippo Ltd,xhkg:00226
00227:xhkg,First Shanghai Investments Ltd,xhkg:00227
00228:xhkg,China Energy Development Holdings Ltd,xhkg:00228
00231:xhkg,Ping An Securities Group (Holdings) Ltd,xhkg:00231
00232:xhkg,AVIC International Holding (HK) Ltd,xhkg:00232
00235:xhkg,China Strategic Holdings Ltd,xhkg:00235
00237:xhkg,Safety Godown Co Ltd,xhkg:00237
00240:xhkg,Build King Holdings Ltd,xhkg:00240
00241:xhkg,Alibaba Health Information Technology Ltd,xhkg:00241
00242:xhkg,Shun Tak Holdings Ltd,xhkg:00242
00245:xhkg,China Minsheng Financial Holding Corporation Ltd,xhkg:00245
00246:xhkg,Real Gold Mining Ltd - NOCT,xhkg:00246
00250:xhkg,Sino-I Technology Ltd,xhkg:00250
00251:xhkg,SEA Holdings Ltd,xhkg:00251
00255:xhkg,Lung Kee (Bermuda) Holdings Ltd,xhkg:00255
00256:xhkg,Citychamp Watch & Jewellery Group Ltd,xhkg:00256
00257:xhkg,China Everbright International Ltd,xhkg:00257
00261:xhkg,CCT Land Holdings Ltd,xhkg:00261
00263:xhkg,GT Group Holdings Ltd,xhkg:00263
00267:xhkg,CITIC Ltd,xhkg:00267
00268:xhkg,Kingdee International Software Group Co. Ltd,xhkg:00268
00269:xhkg,China Resources and Transportation Group Ltd,xhkg:00269
00270:xhkg,Guangdong Investment Ltd,xhkg:00270
00271:xhkg,Asiasec Properties Ltd,xhkg:00271
00272:xhkg,Shui On Land Ltd,xhkg:00272
00273:xhkg,Mason Group Holdings Ltd,xhkg:00273
00276:xhkg,Mongolia Energy Corp. Ltd,xhkg:00276
00279:xhkg,Freeman FinTech Corp. Ltd,xhkg:00279
00280:xhkg,King Fook Holdings,xhkg:00280
00285:xhkg,BYD Electronic Company Ltd,xhkg:00285
00288:xhkg,WH Group Ltd,xhkg:00288
00289:xhkg,Wing On Company International Ltd,xhkg:00289
00290:xhkg,China Fortune Financial Group Ltd,xhkg:00290
00291:xhkg,China Resources Beer (Holdings) Co Ltd,xhkg:00291
00292:xhkg,Asia Standard Hotel Group Ltd,xhkg:00292
00293:xhkg,Cathay Pacific Airways Ltd,xhkg:00293
00295:xhkg,Kong Sun Holdings Ltd,xhkg:00295
00296:xhkg,Emperor Entertainment Hotel Ltd,xhkg:00296
00297:xhkg,Sinofert Holdings Ltd,xhkg:00297
00299:xhkg,New Sports Group Ltd,xhkg:00299
00300:xhkg,Shenji Group Kunming Machine Tool Co. Ltd,xhkg:00300
00303:xhkg,VTech Holdings Ltd,xhkg:00303
00305:xhkg,Wuling Motors Holdings Ltd,xhkg:00305
00306:xhkg,Kwoon Chung Bus Holdings Ltd,xhkg:00306
00308:xhkg,China Travel International Investment Hong Kong Lt,xhkg:00308
00309:xhkg,Xinhua News Media Holdings Ltd,xhkg:00309
00311:xhkg,Luen Thai Holdings Ltd - NOCT,xhkg:00311
